,A,주님께 감사해,A,영광의 주님 찬양하세,A,영광의 주님 찬양하세,A,주님께 감사해,A,풀은 마르고,A,내 마음에 주를 향한 사랑이,A,찬양하리라,A,빈들에 마른풀같이(172),A,예수 우리 왕이여,A,놀라운 주의 사랑,A,죄에서 자유를 얻게함은,A,찬양하리라,A,은혜로다,A,내 마음에 주를 향한 사랑이,A,예수 우리 왕이여,A,나의 영혼이 잠잠히,A,치료자,A,나의 안에 거하라,A,내 마음에 주를 향한 사랑이,A,주 여호와는 광대하시도다,A,주만바라 볼찌라
,A,날 구원하신 주 감사,A,살아 계신 주,A,살아 계신 주,A,들어오라 지성소로오라,A,전능하신 나의 주하나님은,A,예수 나의 첫사랑되시네,Bb,새 힘얻으리,Bb,성령이 오셨네,A,영광의 주님 찬양하세,A,모든 능력과 모든 권세,A,유월절 어린양의 피로,A,영광의 주님 찬양하세,A,아침이 오면 해가 ,A,내 안에 주를 항햔 이노래,A,내 마음에 주를 향한 사랑이,A,주님 보좌 앞에 나아가,A,예수 나의 좋은 치료자,A,아침이 오면 해가,A,우리 보좌 앞에 모였네,D,주 다스리네,D,우리 모일때
,C,감사해 시험이 닥쳐올때에,A,예수 나의 첫사랑되시네,A,예수 나의 첫사랑되시네,A,거룩한 보좌 앞에,D,아침에 나로 주의,A,믿음따라 걸음마다,C,사랑하는 나의 아버지,C,거룩하신 성령이여,A,주 하나님 독생자 예수,A,우리죄위해 죽으신 주,A,우리 보좌 앞에 모였네,A,선포하라 부활하신 영광,D,은혜로만 들어가네,A,예수 나의 첫사랑되시네,A,주께 가까이 날 이끄소서,A,이 세상의 모든 소망,E,아바 아버지,C,주 품에 품으소서,Bb,위대하신 주,E,기뻐하며 승리의 노래,D,당신은 사랑받기위해
,D,감사해요 주님의 사랑,A,우리 주안에서 노래하며,A,주님 보좌 앞에 나아가,A,내가 주앞에 엎드려,D,주님말씀하시면,A,주님 뜻대로 살기로 했네,E,내 주같은 분 없네,C,불을 내려주소서,A,주님같은 반석은 없도다,Ab,아름다우신,"A,Bb",예수 감사하리 주의 보혈,A,주의 집에 영광이 가득해,D,나를 지으신 이가,A,주 사랑 놀라운 그 사랑,A,모든 상황 속에서,A,주님 곁으로,F,마음의 상한 자를,E,나를 지으신 주님,D,예수 이름이 온땅에,E,승리 하였네,D,당신은 하나님의 언약안에
,"E, F",여호와를 즐거이 불러,A,영광의 주님 찬양하세,A,주 여호와는 광대하시도다,C,주의 거룩하심 생각할때,F,주 말씀 내발의 등이요,A,온 맘으로 송축하리,F,여호와를 즐거이 불러,D,우리 모일때,A,주 사랑 놀라운 그 사랑,E,주의보좌로 나아갈때에,D,정결하게 하는 샘이,A,주님 큰 영광 받으소서,G,주신실하심 놀라워,A,갈급한 내맘 만지시는 주,D,아침에 나로 주의,G,영원한 생명의 주님,G,주님과 같이 내마음,G,나의 가는 길,D,오직 주의 사랑에 매여,G,문들아 머리들어라,D,평안을 너에게
,D,주의사랑을 주의 선하심을,A,광대하신 주,A,나의 반석이신 하나님,C,주께와 엎드려,"F,G",하늘에 나는 새도,C,주님 다시오실 때까지,F,아버지 사랑 내가 노래해,D,오소서 진리의 성령님,A,선포하라 부활하신,E,예수님 그의 희생기억할때,D,은혜로만 들어가네,A,나는 찬양하리라,G,잊을 수 없는 은혜,A,내 안에 주를 향한 이 노래,D,오 나의 자비로운 주여,A,전능하신 나의 주하나님은,G,내 손을 주께 높이,G,보라 너희는 두려워 말고,G,이땅의 황무함을,G,예수는 왕 예수는 주,D,평화 하나님의 평강이
,D,감사로 제사 드리는 자가,A,주의 집에 영광이 가득해,A,나는 찬양하리라,C,찬양을 드리며 주앞에,,,C,나의 만족과 유익을 위해,G,경배하리 주하나님,D,성령이여 내 영혼을,A,주님께 감사해,E/F,빛 되신 주,E,주의 보좌로 나아갈 때에,D,주의 임재 앞에 잠잠해,,,A,주께 가오니,D,주의 집에 거하는 자,A,갈급한 내맘 만지시는 주,,,G,십자가 그 사랑,G,모든 민족과 방언들 가운데,G,나 기뻐하리,E,하나님은 너를 만드신 분
,D,감사와 찬양 드리며,A,주님같은 반석은 없도다,A,내 안에 주를 향한 이 노래,D,주의 임재 앞에 잠잠해,,,D,주님말씀하시면,G,왕의 왕 주의 주,E,두 손 들고 찬양 합니다,A,예수 열방의 소망,F,주 달려죽은 십자가(147),F,보혈을 지나,E,전심으로 주찬양,,,C,놀라운 주의 사랑,D,나의 맘 받으소서,A,하늘 위에 주님 밖에,,,,,G,모든 민족에게 주 성령,G,예수 주 승리하심 찬양해,E,하나님은 너를 지키시는 자
,E,예수님 그의 희생 기억할때,A,나의 반석이신 하나님,A,내가 만민 중에,D,하나님의 존전에서,,,D,주님 내가 여기 있사오니,G,하늘에 계신 아버지,E,예수님 목마릅니다,A,지금은 엘리야때처럼,F,예수 나를 위하여(144),G,주보혈 날 정결케하고,G,영광 영광 왕께 영광을,,,D,나 무엇과도 주님을,D,주의 집에 거하는 자,A,주가 보이신 생명의길,,,,,G,오소서 진리의 성령님,G,주 예수의 이름 높이세,"E, F",은혜의 주님이 당신을
,F,거룩하신 하나님,A,주 이름 찬양,Ab,아름다우신,D,주님손에 다 맡겨드리리,,,E,두 손 들고 찬양 합니다,G,창조의 아버지,E,우리 함께 기도해,A,주 발 앞에 나 엎드려,G,무엇이 변치않아,,,G,예수 메시야,,,D,이와같은 때엔,E,두 손 들고 찬양 합니다,A,주께 가오니,,,,,G,마지막 날에,G,세상의 유혹 시험이,G,하나님께서 우리를 통해
